Anfangszeit - hh:mm:ss.ms	Anfangszeit - ss.msec	Endzeit - hh:mm:ss.ms	Endzeit - ss.msec	Dauer - hh:mm:ss.ms	Dauer - ss.msec	id@	tx@	mb@	ge@	ps@	ft@	nt@	sound@	graid
00:00:02.830	2.83	00:00:03.570	3.57	00:00:00.740	0.74	280117_10_Hamid_Clandividing 001	##	##	##	##	aaah		280117_10_Hamid_Clandividing.WAV 2.830 4.310	##
00:00:03.570	3.57	00:00:04.310	4.31	00:00:00.740	0.74	280117_10_Hamid_Clandividing 001	aaah	aaah	aaah	interjection	aaah		280117_10_Hamid_Clandividing.WAV 2.830 4.310	nc
00:00:04.510	4.51	00:00:05.485	5.485	00:00:00.975	0.975	280117_10_Hamid_Clandividing 002	at̪amaana				(from) the story of the Tima people		280117_10_Hamid_Clandividing.WAV 4.510 6.460	adp=np:obl=rn_dem1
00:00:04.510	4.51	00:00:04.753	4.753	00:00:00.243	0.243	280117_10_Hamid_Clandividing 002	at̪amaana	a=	from=	clitic=	(from) the story of the Tima people		280117_10_Hamid_Clandividing.WAV 4.510 6.460	adp=np:obl=rn_dem1
00:00:04.753	4.753	00:00:04.997	4.997	00:00:00.244	0.244	280117_10_Hamid_Clandividing 002	at̪amaana	t̪(V)-	SG-	Pfx-	(from) the story of the Tima people		280117_10_Hamid_Clandividing.WAV 4.510 6.460	adp=np:obl=rn_dem1
00:00:04.997	4.997	00:00:05.241	5.241	00:00:00.244	0.244	280117_10_Hamid_Clandividing 002	at̪amaana	amaa	talk	n	(from) the story of the Tima people		280117_10_Hamid_Clandividing.WAV 4.510 6.460	adp=np:obl=rn_dem1
00:00:05.241	5.241	00:00:05.485	5.485	00:00:00.244	0.244	280117_10_Hamid_Clandividing 002	at̪amaana	=nA	=DEM.PROX	=clitic	(from) the story of the Tima people		280117_10_Hamid_Clandividing.WAV 4.510 6.460	adp=np:obl=rn_dem1
00:00:05.485	5.485	00:00:06.460	6.46	00:00:00.975	0.975	280117_10_Hamid_Clandividing 002	iimuriki				(from) the story of the Tima people		280117_10_Hamid_Clandividing.WAV 4.510 6.460	rn_adp=np.h:g
00:00:05.485	5.485	00:00:05.728	5.728	00:00:00.243	0.243	280117_10_Hamid_Clandividing 002	iimuriki	V=	DIR=	clitic=	(from) the story of the Tima people		280117_10_Hamid_Clandividing.WAV 4.510 6.460	rn_adp=np.h:g
00:00:05.728	5.728	00:00:05.972	5.972	00:00:00.244	0.244	280117_10_Hamid_Clandividing 002	iimuriki	I-	PL-	Pfx-	(from) the story of the Tima people		280117_10_Hamid_Clandividing.WAV 4.510 6.460	rn_adp=np.h:g
00:00:05.972	5.972	00:00:06.216	6.216	00:00:00.244	0.244	280117_10_Hamid_Clandividing 002	iimuriki	murik	Tima	pn	(from) the story of the Tima people		280117_10_Hamid_Clandividing.WAV 4.510 6.460	rn_adp=np.h:g
