LANG_REF	LINGUISTIC_TYPE_REF	PARENT_REF	ANNOTATION_ID	ANNOTATION_REF	PREVIOUS_ANNOTATION	TIME_SLOT_REF1	TIME_SLOT_REF2	anno_ref_numeric	mb@H	utterance@H	GRAID@H	GRAID Qs
tcc	morph-item	A_morph-type	a1	a2	NA	NA	NA	2	qayi	NA	NA	NA
tcc	morph-item	A_morph-type	a3	a4	NA	NA	NA	4	garay	NA	NA	NA
tcc	morph-item	A_morph-type	a5	a6	NA	NA	NA	6	diiy	NA	NA	NA
tcc	morph-item	A_morph-type	a7	a8	NA	NA	NA	8	-an	NA	NA	NA
tcc	morph-item	A_morph-type	a9	a10	NA	NA	NA	10	-ga	NA	NA	NA
tcc	morph-item	A_morph-type	a11	a12	NA	NA	NA	12	g-	NA	NA	NA
tcc	morph-item	A_morph-type	a13	a14	NA	NA	NA	14	a-	NA	NA	NA
tcc	morph-item	A_morph-type	a15	a16	NA	NA	NA	16	balool	NA	NA	NA
tcc	morph-item	A_morph-type	a17	a18	NA	NA	NA	18	-i	NA	NA	NA
tcc	morph-item	A_morph-type	a19	a20	NA	NA	NA	20	g-	NA	NA	NA
tcc	morph-item	A_morph-type	a21	a22	NA	NA	NA	22	a-	NA	NA	NA
tcc	morph-item	A_morph-type	a23	a24	NA	NA	NA	24	urj	NA	NA	NA
tcc	morph-item	A_morph-type	a25	a26	NA	NA	NA	26	-i	NA	NA	NA
tcc	morph-item	A_morph-type	a27	a28	NA	NA	NA	28	buun	NA	NA	NA
tcc	morph-item	A_morph-type	a29	a30	NA	NA	NA	30	-ee	NA	NA	NA
tcc	morph-item	A_morph-type	a31	a32	NA	NA	NA	32	-da	NA	NA	NA
tcc	morph-item	A_morph-type	ann92	ann91_flexid_d7f713e8-e8cf-11d3-9764-00c04f186933	NA	NA	NA	91	eaw	NA	NA	NA
tcc	morph-item	A_morph-type	ann96	ann95_flexid_d7f713dd-e8cf-11d3-9764-00c04f186933	NA	NA	NA	95	-ee	NA	NA	NA
